SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Saratoga Sale (2021),,49,B,F,JUSTIFY,BETTER NOT CRY,STREET CRY (IRE),BLUEWATER SALES LLC AGENT X,,,,04/19/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,50,CH,C,MORE THAN READY,BET TO WIN,PULPIT,GAINESWAY AGENT XVIII,,,,04/01/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,51,B,C,GHOSTZAPPER,BEYOND BLAME,BLAME,DENALI STUD AGENT II,,,,03/14/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,52,B,F,UNION RAGS,BICOLOUR,TIZNOW,BALLYSAX BLOODSTOCK AGENT FOR GRANTLEY ACRES,,,,02/26/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,53,B,C,UNCLE MO,BILBOQUET,SMART STRIKE,EATON SALES AGENT,,,,02/12/2020,VIRGINIA,9,,,
The Saratoga Sale (2021),,54,CH,C,WEST COAST,BITTERSWEET RIDE,CANDY RIDE (ARG),CARA BLOODSTOCK AGENT FOR SAINTSBURY FARMS INC. (JAY & CHRISTINE HAYDEN),,,,03/23/2020,ONTARIO,2,,,
The Saratoga Sale (2021),,55,B,C,CITY OF LIGHT,BLACK CHOCOLATE,HARLAN'S HOLIDAY,EATON SALES AGENT FOR COTEAU GROVE FARMS LLC,,,,03/08/2020,LOUISIANA,9,,,
The Saratoga Sale (2021),,56,DKB,C,UNCLE MO,BLAST,HARLAN'S HOLIDAY,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,02/13/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,57,B,C,AMERICAN PHAROAH,BLITZ AND GLAMOUR,AWESOME AGAIN,BLUEWATER SALES LLC AGENT V,,,,03/12/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,58,GRR,C,EMPIRE MAKER,BLUEJEANS,GHOSTZAPPER,ST GEORGE SALES AGENT III,,,,02/20/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,59,B,C,STREET SENSE,CATCH MY EYE,UNBRIDLED'S SONG,TAYLOR MADE SALES AGENCY AGENT XV,,,,04/27/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,60,B,F,UNION RAGS,CHAUSIE,BLUEGRASS CAT,SOUTH POINT SALES AGENCY AGENT VI,,,,03/10/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,61,B,F,TAPIT,CHECKUPFROMZNECKUP,DIXIE UNION,DENALI STUD AGENT VIII,,,,03/28/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,62,GRR,C,QUALITY ROAD,CHICA BOOM CHIC,TAPIT,LANE'S END AGENT,,,,04/26/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,63,B,F,CURLIN,CLASSOFSIXTYTHREE,INCLUDE,TAYLOR MADE SALES AGENCY AGENT XXI,,,,05/02/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,64,DKB,C,BOLT D'ORO,CLOUD JUMPER,STREET CRY (IRE),SEQUEL NEW YORK AGENT,,,,04/08/2020,NEW YORK,4,,,
The Saratoga Sale (2021),,65,CH,C,SPEIGHTSTOWN,CODE WARRIOR,SOCIETY'S CHAIRMAN,TAYLOR MADE SALES AGENCY AGENT LXXII,,,,02/11/2020,ONTARIO,7B,,,
The Saratoga Sale (2021),,66,CH,C,MUNNINGS,COME A CALLIN,DIXIE UNION,EATON SALES AGENT,,,,04/14/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,67,B,F,PRACTICAL JOKE,COMPETITION,DIXIE UNION,PARAMOUNT SALES AGENT II,,,,02/25/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,68,B,C,CONSTITUTION,COQUIHALLA,ELUSIVE QUALITY,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,02/01/2020,NEW YORK,10,,,
The Saratoga Sale (2021),,69,B,C,INTO MISCHIEF,COUNT TO ELEVEN,GRAND SLAM,MULHOLLAND SPRINGS AGENT I,,,,04/09/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,70,B,C,UNCLE MO,COVENANT,SPEIGHTSTOWN,DENALI STUD AGENT VII,,,,03/30/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,71,B,F,INTO MISCHIEF,CURLINA,CUVEE,MULHOLLAND SPRINGS AGENT II,,,,03/07/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,72,B,C,MEDAGLIA D'ORO,CUT IN STONE,SPEIGHTSTOWN,LANE'S END AGENT,,,,03/28/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,73,B,C,UNCLE MO,DAME DOROTHY,BERNARDINI,STONE FARM AGENT,,,,05/02/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,74,B,F,STREET SENSE,DANCEFORTHECAUSE,GIANT'S CAUSEWAY,SAM-SON FARM,,,,04/13/2020,ONTARIO,10,,,
The Saratoga Sale (2021),,75,B,F,UNION RAGS,DANCING ALONE,KINGMAMBO,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,02/11/2020,KENTUCKY,4,,,
